Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Afghanistan,AFG,19405378545.908775,18058863647.682747,27826952406.991886,31154640993.299946,33429697358.612347,38962756663.39637,43987204863.85201,54254420429.86455,57577662614.19342,71201623266.04796,84001197531.74086,87955134853.62183,103340600263.8955,111941526352.9936,117790233452.76149,119850481007.65819
Albania,ALB,20298803718.527294,22569518835.412952,24286332125.110245,27782229972.268936,31988464779.566933,36098176546.91146,40813579161.87861,46176476547.65633,54053739445.47762,55195560989.77244,58095237897.61868,62197957265.168045,62967491251.92531,65933832273.354065,67940814307.54755,66698030637.81332
Algeria,DZA,400755050980.0122,427217571316.4586,451647183262.4906,500640440171.56396,553094308829.4615,608569806674.2438,655173468072.7786,728167503646.6342,813892778977.4783,800918761274.9756,875343338815.2626,947181124066.206,983173607143.917,1007089717954.776,1046389527948.2947,949421576871.1686
American Samoa,ASM,56279.52455601358,56211.78518572362,512065592.30647486,524065587.03618705,509065131.2157894,500064799.428988,493064612.4319249,518064848.7431726,560065439.2843617,675067232.8076278,573065110.3028535,570064745.5039974,640065716.3288887,638065273.3753417,643064950.5132564,673065076.9170643
Andorra,AND,1432694108.1241436,1548356240.592648,1764374476.82187,2367051403.5322123,2900364044.185942,3161204692.9629807,3459464377.8305264,3957758205.9375725,4102454020.817668,3689104364.3603134,3450044055.418237,3629258701.5495296,3188769941.2109427,3193630011.1471176,3271803131.99401,2789991489.7440224
Angola,AGO,70858482738.00775,73857347127.82195,94244967658.1378,102949558547.94794,124367963590.14229,160160808771.30322,194858022354.16397,242157187413.77933,294349237049.00397,294126097860.3311,327273706016.6911,380196116754.15485,442095294347.3723,485636700554.0484,519816884199.6533,440463717130.1634
Antigua and Barbuda,ATG,3118349671.0656595,3002781671.2014847,3095886290.6480145,3320161874.06544,3635944516.4049892,4075183053.5017357,4692275607.895366,5257427424.847523,5429576970.855801,4858959717.74426,4527631436.2003975,4502092896.07494,4479952348.315674,4476929661.31666,4580567403.461325,4572745803.273474
Argentina,ARG,1127614594663.74,1088890671604.0271,757290694326.556,834418068747.0963,881512998144.6289,964953882523.8857,1138523949470.1243,1310009722023.002,1481864408156.7705,1424580401940.8274,1642352858894.84,1892224568781.5002,1983835005643.654,2077782347067.7524,2033427851475.3945,2176568336023.7917
Armenia,ARM,13371423249.890078,15132087832.662495,17424181255.690353,20337850453.70084,23846066623.309032,28627469980.725304,34583905374.97203,44007654235.81358,51589230860.084366,45203498487.94838,48486529731.85318,52140902377.59005,57914456591.56913,62429294389.370705,63298041122.797714,62023979751.409546
Aruba,ABW,6438857391.1633215,6622607431.454768,6504926676.005088,6994837017.458254,7767247904.992216,7069941201.772993,8326249121.878725,8293124679.462904,9389446332.938084,8469421407.871831,8107517816.301026,8360855442.413619,8573696761.277826,9062929653.158978,9168996845.883476,9432200841.554241
Australia,AUS,1317021570718.9817,1303677597978.5713,1348431434978.0945,1486723819160.8867,1756402424425.6301,1926724987855.7783,2167212444958.9124,2380636387583.7,2757475848104.5757,2743762792121.1846,3035374250353.1904,3440668119797.858,3875911081453.3335,4147964753838.8853,4101170305486.4854,3886396558405.7983
Austria,AUT,651161898362.2784,640282892201.9331,673048072112.1715,758219866592.508,861826343012.1688,1003880276759.5403,1007300487343.2819,1164467814523.0227,1216280125192.908,1169543207589.1104,1148970759632.6514,1270456090603.666,1242914341087.6882,1279039054313.857,1291283657974.7964,1221083737789.7646
Azerbaijan,AZE,38811170299.22849,43312354378.04769,48040507378.8716,54805007880.504196,61759351276.188805,80703840566.71426,115167939671.86597,156437450616.64337,194602659662.53647,211229687779.96185,238144723698.15695,256090691211.85992,287570607318.4892,312814118818.567,327810454039.43744,275520520568.26465
"Bahamas, The",BHS,24093946368.71285,24988215412.434032,26278626981.474537,26696323206.46016,27869635862.827587,29858208054.66616,30992790271.763462,32184254744.175735,32303608530.578518,30786872525.831635,31040941184.293816,31327701576.234833,32610376803.528214,31730280887.175213,32946082331.87382,34052429326.8814
Bahrain,BHR,46463408805.41319,48329373281.03079,49807522766.56206,56160163102.25323,63882022147.8382,73970473230.50494,83313266682.61699,95831012666.4983,105901284160.91225,96164324836.5898,107901317072.66376,111833358425.15329,130778646791.34566,137142577629.21951,138266678123.05698,132790393446.72336
Bangladesh,BGD,333750554439.0076,350212753730.0251,367585361330.5614,395387546678.68085,430123980973.6657,467843171560.5661,509543760406.5315,560086523605.8976,617451676489.302,664662783656.7911,720847591470.5328,789068932339.4867,879932469151.1395,958550327450.5056,1042051122827.44,1133182614869.3518
Barbados,BRB,9856005450.443167,9798992437.831314,9947504498.38425,10386476852.567232,11131925790.098804,12157091718.831717,13069777106.810743,14307560942.486046,14669486975.429893,14112054089.00757,15260304631.239641,15644960817.748692,15307451286.898186,15414657188.54902,15256186934.209415,15456008246.792639
Belarus,BLR,86742163172.64473,89841721294.57193,97419603758.54425,109804575809.22462,131403643980.13712,156093515475.7605,182642833565.7392,215828391374.02917,258803322386.7637,257502654720.31366,286657491423.88275,311030528863.7739,329714529501.24915,355180405478.773,365565865644.3191,323083395382.2568
Belgium,BEL,884369411808.2323,894652749089.4928,835881435279.1143,967522554506.575,1088022504319.9025,1168600466792.654,1259468936293.5344,1408156997530.1428,1659028888218.5093,1444189831770.2888,1506442417300.3145,1625361202477.5576,1546689274487.4973,1549263873020.4307,1593337642542.1824,1515895921520.2812
Belize,BLZ,4594606321.461587,4862370323.632721,5254194745.002976,5842445847.390396,6050084078.032049,6378715100.477614,6785730123.294369,7098804296.902029,7369933947.919433,7537747661.027405,7559449158.561724,7815789606.371504,7811879392.565074,8278451350.118498,8537275333.834998,8830080085.851992
Benin,BEN,20284545770.422653,22019489670.14241,23640957773.104626,26040225702.139233,29282866698.31565,31344568087.66075,32863958629.31738,36477680598.54704,40845840584.75377,42412604253.74193,43336876901.41872,46144812154.38949,49090207846.73135,54759581098.6144,59694380955.17801,58361676644.22756
Bermuda,BMU,3494237424.5646615,3703404804.088357,3959753984.2993245,4212654999.9566436,4515537676.781469,4899576880.421978,6427641063.932291,7049971673.26535,7493981731.793097,6879709015.456665,18300384705.072212,17386903354.592754,17919083944.069996,18106734919.44303,18013709792.745922,18346755733.023933
Bhutan,BTN,2952113063.041452,3281785401.3395424,3737145808.9364424,4219221004.941077,4701822655.909803,5305241456.091845,5918356594.3157835,7104765205.59472,7374264308.0867815,7854404009.143835,9064447882.671518,10169021770.71808,11086546764.739513,11428357224.125599,12437426436.03386,13456208555.39216
Bolivia,BOL,50760961834.82608,50441799419.215775,51550757371.601,53635904171.02817,57297935070.723366,62255950750.64582,67578101600.22157,72147927147.84741,82697063613.1574,86652111889.5761,92997742494.57593,104175916481.05652,115158886563.06511,132255265339.78548,144912219417.85742,151411916435.67612
Bosnia and Herzegovina,BIH,32780001552.262512,33906659050.07463,37297353865.5218,42234448369.96696,50618318993.57718,55294366518.00247,63309493287.77728,74081493318.62917,85305973445.82321,85265224631.39722,85223222159.22873,86262552959.73077,85819189893.4513,90368427290.06699,90342342714.41713,88271191499.43495
Botswana,BWA,26028775182.824074,27251890516.853634,25833586705.306015,30621507126.752914,33472028344.294544,38259413713.99241,42304943663.690475,46049493370.01609,46839178606.44072,44153874770.191,49862499816.198586,58614837660.01663,57936378207.249214,58936087782.61311,64948275570.23651,59669277835.44448
Brazil,BRA,3125032281059.7974,2969912351872.199,2960301282823.628,3052614247162.957,3382475624920.993,3814810511929.382,4382770559953.4326,5169569131345.726,5945407071041.979,6074229893540.144,7189963225535.47,8120852178115.407,8280376176895.724,8621842974354.887,8600127459142.476,7367420174386.549
British Virgin Islands,VGB,36367418274.61031,30073110850.368744,14166030735.985815,14942362397.533932,10901004148.674864,18345065053.892967,29888797823.370384,49765617787.41269,46385633572.521126,37173229734.97207,49310858835.37228,53802154166.06065,53936004031.09336,69362574467.38136,77965903021.71162,60908480864.60475
Brunei Darussalam,BRN,36757573071.09767,37272371762.92122,39004324039.690994,41747471083.07758,45220874468.05123,49399959018.27641,55672240014.952576,57461320239.72285,60719337489.09476,56152421355.44584,58084349306.369484,64560753038.17905,69634764096.09888,69494408268.32591,68575812766.14286,56859391797.70139
